IssueID,Title,Body
43173,spider doing I/O inside the event loop,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
<!-- 
  Describe the issue you are experiencing here to communicate to the
  maintainers. Tell us what you were trying to do and what happened.
-->


## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: 0.117.6
- Last working Home Assistant Core release (if known): 
- Operating environment (OS/Container/Supervised/Core): Container
- Integration causing this issue: spider
- Link to integration documentation on our website: 

## Problem-relevant `configuration.yaml`
<!--
  An example configuration that caused the problem for you. Fill this out even
  if it seems unimportant to you. Please be sure to remove personal information
  like passwords, private URLs and other credentials.
-->

```yaml

```

## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt
2020-11-13 11:34:33 WARNING (MainThread) [homeassistant.util.async_] Detected I/O inside the event loop. This is causing stability issues. Please report issue for spider doing I/O at homeassistant/components/spider/switch.py, line 11: entities = [SpiderPowerPlug(api, entity) for entity in api.get_power_plugs()]
```

## Additional information

"
43055,Unable to bind to gree device,"## The problem
Unable to bind to gree device: Device: a7102045 @ 192.168.26.75:7000 (mac: )

## Environment

- Home Assistant Core release with the issue:  0.117.5
- Last working Home Assistant Core release (if known): None
- Operating environment (OS/Container/Supervised/Core):  x86_64, os_version | 5.4.69, python_version | 3.8.5
- Integration causing this issue: gree
- Link to integration documentation on our website: https://www.home-assistant.io/integrations/gree/

## Problem-relevant `configuration.yaml`
None

## Traceback/Error logs
```txt
2020-11-11 03:29:25 DEBUG (MainThread) [homeassistant.components.gree] Scanning network for Gree devices
2020-11-11 03:29:37 ERROR (MainThread) [homeassistant.components.gree] Unable to bind to gree device: Device: a7102045 @ 192.168.26.75:7000 (mac: )
2020-11-11 03:29:47 ERROR (MainThread) [homeassistant.components.gree] Unable to bind to gree device: Device: a7299f56 @ 192.168.26.78:7000 (mac: )
2020-11-11 03:29:57 ERROR (MainThread) [homeassistant.components.gree] Unable to bind to gree device: Device: 77dd30f3 @ 192.168.26.73:7000 (mac: )
2020-11-11 03:30:07 ERROR (MainThread) [homeassistant.components.gree] Unable to bind to gree device: Device: 77a8ba4a @ 192.168.26.72:7000 (mac: )
```

## Additional information

"
43029,Notion battery sensors showing “unavailable” all the time,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
<!-- 
  Describe the issue you are experiencing here to communicate to the
  maintainers. Tell us what you were trying to do and what happened.
-->
Battery sensors for the Notion integration are suddenly showing as ""unavailable"" upon HASS startup.

## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: 0.117.5
- Last working Home Assistant Core release (if known): ?
- Operating environment (OS/Container/Supervised/Core): Container
- Integration causing this issue: Notion
- Link to integration documentation on our website: https://www.home-assistant.io/integrations/notion/

## Problem-relevant `configuration.yaml`
<!--
  An example configuration that caused the problem for you. Fill this out even
  if it seems unimportant to you. Please be sure to remove personal information
  like passwords, private URLs and other credentials.
-->

```yaml

```

## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt

Log Details (ERROR)


Logger: homeassistant.components.binary_sensor
Source: components/notion/binary_sensor.py:80 
Integration: Binary sensor (documentation, issues) 
First occurred: 8:03:36 PM (2 occurrences) 
Last logged: 8:03:36 PM

Error adding entities for domain binary_sensor with platform notion
Error while setting up notion platform for binary_sensor
Traceback (most recent call last):
  File ""/usr/src/homeassistant/homeassistant/helpers/entity_platform.py"", line 314, in async_add_entities
    await asyncio.gather(*tasks)
  File ""/usr/src/homeassistant/homeassistant/helpers/entity_platform.py"", line 505, in _async_add_entity
    await entity.add_to_platform_finish()
  File ""/usr/src/homeassistant/homeassistant/helpers/entity.py"", line 530, in add_to_platform_finish
    await self.async_added_to_hass()
  File ""/usr/src/homeassistant/homeassistant/components/notion/__init__.py"", line 288, in async_added_to_hass
    self._async_update_from_latest_data()
  File ""/usr/src/homeassistant/homeassistant/components/notion/binary_sensor.py"", line 80, in _async_update_from_latest_data
    self._state = self.coordinator.data[""tasks""][self._task_id][""status""][""value""]
KeyError: 'value'
```

## Additional information

![image](https://user-images.githubusercontent.com/47216/98622544-07d26f80-22c7-11eb-95b8-51d1cb80bfa9.jpeg)"
